blog.rom1v.com;Free SAS 
www.1ko.ch;
4lw.fr;OVH SAS 
blog.admin-linux.org;Ikoula Net SAS 
www.michtoblog.com;
blog.aldevar.fr;NUXIT s.a.r.l. 
www.kywyxy.net;
www.nolifeclub.org;OVH SAS 
lib64;
www.blogvirtualisation.com;OVH SAS 
inaps.org;Dedibox SAS 
antonin.moulart.org;1&1 Internet AG 
www.laspic.eu;Lautre Net Hosting Service 
arnumeral.fr;Dedibox SAS 
artisan.karma-lab.net;Dedibox SAS 
blog.asher256.com;
www.aternatik.org;PHPNET FRANCE SARL 
aurelien.bompard.org;OVH SAS 
www.lenetdanslesnuages.com;OVH SAS 
www.bastnic.info;GANDI DEDICATED HOSTING SERVERS 
www.antoinebenkemoun.fr;Dedibox SAS 
cdrom;
binbash.fr;1&1 Internet AG 
blogmotion.fr;w4a-01 
blog.wolf.am;Proxad / Free Telecom 
dors.frugalware.org;Dedibox SAS 
mementolinux.wordpress.com;
brice.capelle.me;Dedibox SAS 
cquad.dyndns.org;Proxad / Free SAS 
www.glx-dock.org;Ielo Assignation to Customer 
capof-space.org;Ielo Assignation to Customer 
www.rt74.eu;OVH SAS 
carlchenet.wordpress.com;
www.cedynamix.fr;1&1 Internet AG 
linuxevolution.wordpress.com;
www.dom-web.net;1&1 Internet AG 
chm.duquesne.free.fr;Free SAS (ProXad) 
cksum.org;
coudot.blogs.linagora.com;LINAGORA SA 
clement-ravary.fr;
www.clapico.com;OVH SAS 
gerard.geekandfree.org;Pool for Broadband DSL customers 
www.stealthisblog.fr;Ielo Assignation to Customer 
costalfy.servhome.org;OVH SAS 
langagelinotte.free.fr;Free SAS (ProXad) 
ludovic.rivallain.fr;OVH SAS 
www.crowd42.info;Ielo Assignation to Customer 
www.cyrille-borne.com;OVH SAS 
www.dadall.info;Proxad / Free SAS 
nicotux.wordpress.com;
www.ludoka.net;NC Numericable S.A. 
dariablogue.wordpress.com;
www.dupnet.org;Linode, LLC 
www.biologeek.com;Typhon 
www.davromaniak.eu;Dedibox SAS 
www.daviddallet.com;OVH SAS 
wikilivres.wordpress.com;
www.k1ka.be;OVH SAS 
colibri-libre.org;w4a-01 
www.digitalspirit.org;OVH SAS 
www.think-underground.com;OVH SAS 
www.djul.info;
eddy33.eddy33.free.fr;Free SAS (ProXad) 
www.inouire.net;GANDI DEDICATED-HOSTING-NET4 
blog.effraie.org;Proxad / Free SAS 
blog.bmaron.net;
www.my1.fr;1&1 Internet AG 
emilpoe.wordpress.com;
gontcho.wordpress.com;
meta.libera.cc;
www.enfluxlibre.org;1&1 Internet AG 
www.xieme-art.org;ALIENOR.NET 
www.equinoxefr.org;Dedibox SAS 
www.sum-up.fr;
blog.etenil.net;Croydon Residential Dynamic 
blog.archambeau.info;1&1 Internet AG 
facil.qc.ca;
feilongwork.free.fr;Free SAS (ProXad) 
fgallaire.flext.net;
finss.free.fr;Free SAS (ProXad) 
www.fitzdsl.net;OVH SAS 
florentgiordano.wordpress.com;
floruby.wordpress.com;
fonctionerd.free.fr;Free SAS (ProXad) 
tar-jx.bz;OVH SAS 
www.framablog.org;OVH SAS 
sciunto.wordpress.com;
chezarchange.free.fr;Free SAS (ProXad) 
fredgnix.wordpress.com;
freeculture.homelinux.com;
rfournier.homelinux.org;Dynamic pools 
elveos.org;OVH SAS 
fullcirclemag.fr;OVH SAS 
blog.noremember.org;Dedibox SAS 
www.generation-linux.fr;Proxad / Free SAS 
www.g3l.org;OVH SAS 
geekdefrance.fr;w4a-01 
geekfault.org;GEEKNODE VSERVERS 
gege2061.homecomputing.fr;Proxad / Free SAS 
gilir.wordpress.com;
www.greguti.com;OVH SAS 
gcolpart.evolix.net;Evolix infrastructure in Marseilles 
www.llaumgui.com;OVH SAS 
blog.guiona.com;OVH SAS 
hackurx.wordpress.com;
hobbestigrou.interface-c.com;OVH SAS 
blog.hugoroy.eu;OVH SAS 
blog.hyla-project.org;OVH SAS 
johotogoshinentai.wordpress.com;
inalgnu.nomade-dz.com;
influence-pc.1s.fr;Dedibox SAS 
influence-pc.fr;Dedibox SAS 
blog.v-jeremy.net;OVH SAS 
mandriva.education.free.fr;Free SAS (ProXad) 
bozoko.com;
jeromeg.blog.free.fr;Free SAS (ProXad) 
blog.jesuislibre.org;Dedibox SAS 
www.jeyg.info;Proxad / Free SAS 
kubuntu.free.fr;Free SAS (ProXad) 
ernstfamily.ch;GANDI DEDICATED HOSTING SERVERS 
blog.itnservice.net;GANDI FRANCE L/B SERVICES 
www.jopa.fr;Dedibox SAS 
blog.cheztoi.net;Proxad / Free SAS 
jukilomp.free.fr;Free SAS (ProXad) 
www.technoaddict.fr;Dedibox SAS 
julius.sambrelug.be;GANDI FRANCE L/B SERVICES 
www.k-tux.com;OVH SAS 
blog.sietch-tabr.com;GANDI DEDICATED HOSTING SERVERS 
kamagatos.blogspot.com;
jeff.ecchi.ca;
www.betaphile.net;Dedicated Server Hosting 
www.labo-linux.org;SUPINFO Labs 
leducdubleuet.biz;
blog.e-node.org;GANDI DEDICATED-HOSTING FR3 
liberez-le-tux.servhome.org;OVH SAS 
rtfm.libfy.com;Dedibox SAS 
www.libre-astux.info;OVH SAS 
contrib.linalis.com;OVH SAS 
armaklan.org;OVH SAS 
blog.touret.info;Lautre Net Hosting Service 
www.lolokai.com;NUXIT s.a.r.l. 
lordphoenix.tuxfamily.org;Ielo Assignation to Customer 
louisroche.net;OVH SAS 
low.je;Proxad / Free SAS 
dblogpas.free.fr;Free SAS (ProXad) 
macsim.labolinux.net;OVH SAS 
blog.le-guevel.com;OVH SAS 
www.malangot.fr;Dedibox SAS 
astuces.absolacom.com;OVH SAS 
www.libre-experience.org;Dedibox SAS 
mart-e.be;Dedibox SAS 
15minutesoffame.be;OVH SAS 
www.matao.fr;OVH SAS 
mathieu.comandon.org;Dedibox SAS 
blog.fedora-fr.org;Ikoula Hosting 
www.labsnux.net;1&1 Internet AG 
blog.fedora-fr.org;Ikoula Hosting 
www.loutre.ch;alwaysdata hosting 
michauko.org;OVH SAS 
www.mickael-allain.fr;Dedibox SAS 
www.unblogsurlabanquise.org;GANDI FRANCE L/B SERVICES 
monitoring-fr.org;Dedibox SAS 
www.morot.fr;OVH SAS 
movim.eu;Ielo Assignation to Customer 
www.mozillazine-fr.org;Planet-Service 
www.mr-yann.org;OVH SAS 
blog.mrtomlinux.org;OVH SAS 
nyco.wordpress.com;
www.gabes.fr;OVH SAS 
www.blueicefield.com;Proxad / Free SAS 
blog.nicolargo.com;Dedibox SAS 
www.nicosphere.net;OVH SAS 
blog.nicosmos.free.fr;Free SAS (ProXad) 
nicoz.olympe-network.com;OVH SAS 
prendreuncafe.com;
cdrom;
www.noplay.net;OVH SAS 
www.novius-os.org;SARL Adeli 
www.novius-labs.com;SARL Adeli 
blog.olivierdelort.net;Proxad / Free SAS 
ofaurax.free.fr;Free SAS (ProXad) 
olpc-france.org;
gregoire.menuel.free.fr;Free SAS (ProXad) 
case.oncle-tom.net;alwaysdata hosting 
www.francoistessier.info;NC Numericable S.A. 
blog.opensyd.fr;
www.openwebtech.fr;SC ELVSOFT SRL 
opossum1er.org;OVH SAS 
oser.neotech3.org;INDUSTRIE 
dleds.net;alwaysdata hosting 
blog.oxyradio.net;Dedibox SAS 
blog.pacodastre.org;OVH SAS 
blog.fedora-fr.org;Ikoula Hosting 
www.chevrel.org;OVH SAS 
blog.paulk.fr;Proxad / Free SAS 
www.pc-kc.fr;1&1 Internet AG 
linux-attitude.fr;OVH SAS 
www.eauland.com;OVH SAS 
philippe.scoffoni.net;Dedibox SAS 
www.pianopenguin.net;OVH SAS 
pingax.frugalware.fr;Proxad / Free SAS 
blog.planet-libre.org;
www.ploum.net;OVH BE 
www.pointroot.org;Dedibox SAS 
www.mibhouse.org;Dedibox SAS 
politiquedunetz.wordpress.com;
pouvoir-choisir.org;OVH SAS 
blog-marcel.eu;Ielo Assignation to Customer 
blog.profnoel.com;
orthophonielibre.wordpress.com;
www.radek411.org;Dedibox SAS 
raphaelhertzog.fr;Dedibox SAS 
ravomavain.servhome.org;OVH SAS 
totalement.geek.oupas.fr;1&1 Internet AG 
blog.fedora-fr.org;Ikoula Hosting 
www.respawner.fr;Dedibox SAS 
rym.waglo.com;
www.rollsrox.com;
blog.stackr.fr;OVH SAS 
phollow.fr;CloudFlare, Inc. 
saimon.org;OVH SAS 
blog.creaone.fr;OVH SAS 
about-gnulinux.info;OVH SAS 
seitoworld.fr;OVH SAS 
blog.silvyn.net;alwaysdata hosting 
walkyr.fr;Dedibox SAS 
www.pastanque.be;AXC Infrastructure UK 
xcase.wordpress.com;
standartux.fr;1&1 Internet AG 
lalinuxerie.free.fr;
blog.gnusquad.org;
www.system-linux.eu;Dedibox SAS 
www.taltan.fr;1&1 Internet AG 
tanguy.ortolo.eu;Proxad / Free SAS 
www.tb-planet.fr;
opensource.jegalere.fr;OVH SAS 
theclimber.fritalk.com;OVH BE 
blog.theglu.org;OVH SAS 
blog.thelinuxfr.org;OVH SAS 
www.befox.be;ISP4P IT Services 
linuxeries.blogspot.com;
tb4.fr;GANDI DEDICATED HOSTING SERVERS 
blog.bores.fr;OVH SAS 
www.halpanet.org;Proxad / Free SAS 
pwet.fr;OVH SAS 
blog.titax.fr;OVH SAS 
toitoinebzh.blog.free.fr;Free SAS (ProXad) 
www.trouvetongull.info;Rook Media Gmb 
tuxicoman.jesuislibre.net;Proxad / Free SAS 
u-classroom.net;
ubuntulesjours.free.fr;Free SAS (ProXad) 
blog.uggy.org;Dedibox SAS 
www.shadoware.org;OVH SAS 
valentin.villenave.info;OVH SAS 
www.velcs.info;GANDI FRANCE L/B SERVICES 
www.tuxlanding.net;Dedibox SAS 
www.vinilox.eu;BSNAN158 Nantes Bloc 2 
nwarrenfl.open-web.fr;OVH SAS 
wattazoum.fr;OVH SAS 
wavemaker.free.fr;Free SAS (ProXad) 
www.webaaz.com;GANDI DEDICATED HOSTING SERVERS 
ubunblox.servhome.org;OVH SAS 
maniatux.fr;1&1 Internet AG 
lesaventuresdeyannigdanslemondeit.blogspot.com;
yeknan.free.fr;Free SAS (ProXad) 
www.blogjaune.fr;Dedibox SAS 
www.gesnel.fr;OVH SAS 
www.daemontux.org;OVH SAS 
blog.zeneffy.fr;OVH SAS 
www.marsaud.org;OVH SAS 
myblogbyzippy.blogspot.com;
zitrouille.wordpress.com;
