blog.rom1v.com;Binary file (standard input) matches;Binary file (standard input) matches;
www.1ko.ch;GSE;;
4lw.fr;Apache/2.2.X (OVH);PHP/5.2.17;
blog.admin-linux.org;Apache;W3 Total Cache/0.9.2.4;1.1 varnish
www.michtoblog.com;Apache;;
blog.aldevar.fr;;;
www.kywyxy.net;Apache;PHP/5.3.8;
www.nolifeclub.org;;;
lib64;;;
www.blogvirtualisation.com;Apache/2.2.X (OVH);PHP/5.2.17;
inaps.org;gunicorn/0.10.0;;
antonin.moulart.org;Apache;PHP/5.2.17;
www.laspic.eu;Apache;PHP/5.3.3-7+squeeze13;
arnumeral.fr;Apache/2.2.16 (Debian);PHP/5.3.3-7+squeeze8;
artisan.karma-lab.net;Apache/2.2.16 (Debian);PHP/5.3.3-7+squeeze8;
blog.asher256.com;Apache/2.2.16 (Ubuntu);PHP/5.3.3-1ubuntu9.10;
www.aternatik.org;Apache;;
aurelien.bompard.org;Apache/2.2.22 (Debian);PHP/5.4.4-2;
www.lenetdanslesnuages.com;Apache/2.2.X (OVH);PHP/5.2.17;
www.bastnic.info;Apache;;
www.antoinebenkemoun.fr;Apache/2.2.16 (Debian);PHP/5.3.3-7+squeeze8;
cdrom;;;
binbash.fr;Apache;;
blogmotion.fr;Apache;PHP/5.2.17;
blog.wolf.am;Lighttpd On Frugalware;;
dors.frugalware.org;Apache/2.2.22 (Fedora);Mono;
mementolinux.wordpress.com;nginx;;
brice.capelle.me;Apache/2.2.22 (Ubuntu);PHP/5.3.10-1ubuntu3.2;
cquad.dyndns.org;Apache/2.2.15 (CentOS);PHP/5.3.3;
www.glx-dock.org;Apache;PHP/5.3.3-7+squeeze13;
capof-space.org;Apache;PHP/5.3.3-7+squeeze13;
www.rt74.eu;Apache/2.2.16 (Ubuntu);PHP/5.3.3-1ubuntu9.10;
carlchenet.wordpress.com;nginx;;
www.cedynamix.fr;Apache;PHP/5.2.17;
linuxevolution.wordpress.com;nginx;;
www.dom-web.net;Apache;PHP/5.2.17;
chm.duquesne.free.fr;AmazonS3;;
cksum.org;;;
coudot.blogs.linagora.com;Apache/2.2.9 (Debian) mod_jk/1.2.26 PHP/5.2.6-1+lenny16 with Suhosin-Patch proxy_html/3.0.0 mod_python/3.3.1 Python/2.5.2 mod_ssl/2.2.9 OpenSSL/0.9.8g mod_perl/2.0.4 Perl/v5.10.0;PHP/5.2.6-1+lenny16;
clement-ravary.fr;;;
www.clapico.com;Apache/2.2.X (OVH);PHP/5.4.4;
gerard.geekandfree.org;nginx/1.0.11;;
www.stealthisblog.fr;Apache;PHP/5.3.3-7+squeeze13;
costalfy.servhome.org;Apache;PHP/5.3.14-1~dotdeb.0;
langagelinotte.free.fr;Apache/ProXad [Apr 20 2012 15:06:05];;
ludovic.rivallain.fr;nginx;;
www.crowd42.info;Apache;PHP/5.3.3-7+squeeze13;
www.cyrille-borne.com;Apache/2.2.16 (Debian);PHP/5.3.3-7+squeeze13;
www.dadall.info;Apache/2.2.16 (Debian);PHP/5.3.3-7+squeeze13;
nicotux.wordpress.com;nginx;;
www.ludoka.net;nginx/0.7.67;PHP/5.3.3-7+squeeze13;
dariablogue.wordpress.com;nginx;;
www.dupnet.org;Cherokee;;
www.biologeek.com;Apache/2.2;;
www.davromaniak.eu;nginx;PHP/5.4.4-2;
www.daviddallet.com;Apache/2.2;PHP/5.3.3-7+squeeze13;
wikilivres.wordpress.com;nginx;;
www.k1ka.be;Apache/2.2.X (OVH);;
colibri-libre.org;Apache;PHP/5.2.17;
www.digitalspirit.org;Apache;;
www.think-underground.com;Apache/2.2.X (OVH);PHP/5.2.17;
www.djul.info;GSE;;
eddy33.eddy33.free.fr;Apache/ProXad [Aug  9 2008 02:45:09];PHP/5.1.3RC4-dev;
www.inouire.net;Apache;;
blog.effraie.org;Apache;PHP/5.3.3-7+squeeze13;
blog.bmaron.net;Apache;;
www.my1.fr;Apache;;
emilpoe.wordpress.com;nginx;;
gontcho.wordpress.com;nginx;;
meta.libera.cc;GSE;;
www.enfluxlibre.org;Apache;PHP/5.2.17;
www.xieme-art.org;Apache;PHP/5.2.6-1+lenny16;
www.equinoxefr.org;Apache/2.2.22 (Ubuntu);PHP/5.3.10-1ubuntu3.2;
www.sum-up.fr;;;
blog.etenil.net;nginx/1.1.19;PHP/5.3.10-1~dotdeb.1;
blog.archambeau.info;Apache;PHP/5.2.17;
