www.oppositionrepublicaine.com;OVH SAS 
www.fubiz.net;Typhon 
www.jean-luc-melenchon.fr;OVH SAS 
www.jegoun.net;
www.journaldugeek.com;Typhon 
www.fdesouche.com;PRQ - POP STH0 
www.gizmodo.fr;OVH SAS 
www.topito.com;
www.korben.info;CloudFlare, Inc. 
www.yann-savidan.com;
www.variae.com;Dedibox SAS 
www.presse-citron.net;OVH SAS 
www.papillesetpupilles.fr;Dedibox SAS 
politeeks.info;OVH SAS 
fr.locita.com;Ip Leadshare Allemagne 
blog.lefigaro.fr;SdV Plurimedia 
pagillet.over-blog.com;JFG NETWORKS 
lecridupeuple.wordpress.com;
www.untourencuisine.com;OVH SAS 
frenchweb.fr;Typhon 
www.oppositionrepublicaine.com;OVH SAS 
www.fubiz.net;Typhon 
www.jean-luc-melenchon.fr;OVH SAS 
www.jegoun.net;
www.journaldugeek.com;Typhon 
www.fdesouche.com;PRQ - POP STH0 
www.gizmodo.fr;OVH SAS 
www.topito.com;
www.korben.info;CloudFlare, Inc. 
www.yann-savidan.com;
www.variae.com;Dedibox SAS 
www.presse-citron.net;OVH SAS 
www.papillesetpupilles.fr;Dedibox SAS 
politeeks.info;OVH SAS 
fr.locita.com;Ip Leadshare Allemagne 
blog.lefigaro.fr;SdV Plurimedia 
pagillet.over-blog.com;JFG NETWORKS 
lecridupeuple.wordpress.com;
www.untourencuisine.com;OVH SAS 
frenchweb.fr;Typhon 
sarkofrance.blogspot.com;
www.10minutesaperdre.fr;OVH SAS 
hern.over-blog.com;JFG NETWORKS 
www.romainblachier.fr;
perdre-la-raison.blogspot.fr;
www.blogdumoderateur.com;artful 
sarkofrance.wordpress.com;
pierre.parrillo.over-blog.fr;JFG NETWORKS 
sebmusset.blogspot.com;
www.thetrendygirl.net;NETSAMPLE 
www.marcvasseur.info;OVH SAS 
blog.jasmineandco.fr;OVH SAS 
insurgeonsnous.over-blog.com;JFG NETWORKS 
chezpatchouka.over-blog.net;JFG NETWORKS 
culinoversions.wordpress.com;
www.aujardin.info;OVH SAS 
www.bahbycc.com;
www.blog-fillon.com;JFG NETWORKS 
www.dominicarpin.ca;
blogs.lexpress.fr;Send abuse to abuse@lexpress.fr 
www.dreuz.info;Dedibox SAS 
bembelly.wordpress.com;
puteaux-libre.over-blog.com;JFG NETWORKS 
www.mamina.fr;JFG NETWORKS 
www.mercotte.fr;Dedibox SAS 
libelul.com;OVH SAS 
gauchedecombat.wordpress.com;
damedekit.canalblog.com;PINACOLAWEB 
www.al-kanz.org;OVH SAS 
www.amabilia.com;
www.divertissonsnous.com;OVH SAS 
www.gillespudlowski.com;OVH SAS 
www.basketusa.com;Typhon 
www.begeek.fr;NETSAMPLE 
www2.lactualite.com;
www.lapopottedemanue.com;JFG NETWORKS 
heresie.hautetfort.com;BLOGSPIRIT NETWORK 
blogs.lesinrocks.com;Typhon 
www.sistraer.net;
blog.greenpeace.fr;PARIS 10EME ARRONDISSEMENT 
www.macomete.com;
www.beautylicieuse.com;
roseandcook.canalblog.com;PINACOLAWEB 
madamereve.over-blog.com;JFG NETWORKS 
www.virginiebichet.org;JFG NETWORKS 
www.pauljorion.com;OVH SAS 
www.journaldugamer.com;Typhon 
elisabeth-guigou.fr;OVH SAS 
www.aubistro.com;
h16free.com;OVH SAS 
www.calirezo.com;OVH SAS 
patricklehyaric.net;
lespetitsplatsdanslesgrands.over-blog.com;JFG NETWORKS 
knitspirit.net;OVH SAS 
www.frandroid.com;
www.lolobobo.fr;OVH SAS 
chefdamien.750g.com;JFG NETWORKS 
milleetunepages.canalblog.com;PINACOLAWEB 
www.les-crises.fr;1&1 Internet AG 
www.paprikas.fr;JFG NETWORKS 
www.garancedore.fr;
undejeunerdesoleil.blogspot.com;
blog.nicolasdupontaignan.fr;Dedibox SAS 
liesidotorg.wordpress.com;
www.iphon.fr;GANDI FRANCE L/B SERVICES 
melbananecuisine.over-blog.com;JFG NETWORKS 
www.fastandfood.fr;1&1 Internet AG 
delivrer-des-livres.fr;1&1 Internet AG 
guybirenbaum.com;OVH SAS 
www.fricote.fr;Planet Service 
aufildemesrecettes.over-blog.com;JFG NETWORKS 
www.claudebartolone.net;OVH SAS 
www.vincentabry.com;Leaseweb Germany GmbH (previously netdirekt e. K.) 
www.aubistrogeek.com;
www.annelauret.com;
scally.typepad.com;
www.leslecturesdeliyah.com;1&1 Internet AG 
doriannn.blogspot.com;
www.nail-art.fr;JFG NETWORKS 
elc95.blogspot.com;
psychosexy.over-blog.com;JFG NETWORKS 
blogs.lesinrocks.com;Typhon 
www.laboiteverte.fr;OVH SAS 
jonguess-officiel.fr;1&1 Internet AG 
nikita-m-hera.over-blog.com;JFG NETWORKS 
scrapideesleblog.canalblog.com;PINACOLAWEB 
www.framablog.org;OVH SAS 
liratouva2.blogspot.com;
www.greenetvert.fr;Infomaniak Network SA - hosting vernier 
thermominoux.over-blog.com;JFG NETWORKS 
odieuxconnard.wordpress.com;
www.tuxboard.com;OVH SAS 
falconhill.blogspot.fr;
jen-airienadireetalors.20minutes-blogs.fr;BLOGSPIRIT NETWORK 
blog.plafonddeverre.fr;GANDI FRANCE L/B SERVICES 
saveurpassion.over-blog.com;JFG NETWORKS 
www.cleacuisine.fr;OVH SAS 
blog.rtl.fr;SOCIETE POUR L'EDITION RADIOPHONIQUE EDIRADIO 
pshiiit.wordpress.com;
www.ufunk.net;OVH SAS 
www.emarketinglicious.fr;PHPNET sarl 
www.recettes-bretonnes.fr;o2switch Datacenter Ip-Range-1 
authueil.org;Ielo Assignation to Customer 
mybeauty.over-blog.com;JFG NETWORKS 
uma76.over-blog.com;JFG NETWORKS 
desirsdavenir86.over-blog.com;JFG NETWORKS 
www.chocoladdict.fr;Infomaniak Network SA - hosting vernier 
www.decotendency.com;OVH SAS 
sciences.blogs.liberation.fr;
www.chefnini.com;OVH SAS 
www.monputeaux.com;
www.cestmamanquilafait.com;JFG NETWORKS 
www.badstrip.net;JFG NETWORKS 
www.mycommunitymanager.fr;Idianet is an Internet Service Provider 
detoutetderiensurtoutderiendailleurs.blogspot.com;
www.alter-oueb.fr;Proxad / Free SAS 
bruxelles.blogs.liberation.fr;
mesenviesetdelices.over-blog.com;JFG NETWORKS 
www.leblogtvnews.com;JFG NETWORKS 
www.misspandora.fr;OVH SAS 
captainhaka.blogspot.fr;
cricridam.canalblog.com;PINACOLAWEB 
www.audreycuisine.fr;Infomaniak Network SA - hosting vernier 
www.bricabook.fr;OVH SAS 
www.webmarketing-com.com;OVH SAS 
www.lekiosqueauxcanards.com;JFG NETWORKS 
www.cuisinelolo.com;JFG NETWORKS 
www.w3sh.com;Hetzner Online AG 
tricots-de-la-droguerie.fr;OVH SAS 
www.islamisation.fr;BLOGSPIRIT NETWORK 
lesalonbeige.blogs.com;
slovar.blogspot.fr;
www.13lignes.be;
blog.mondediplo.net;ATLANTIS Free Unix User Group 
www.marianne2.fr;Webzine 
www.blogeee.net;CNET Networks France 
